# Variance report for acetime.timezone.acetz compared to Python 3.10
# zoneinfo.ZoneInfo.
#
# Context
# -------
# Acetimepy Version: 0.7.0
# Acetimepy ZoneDB Version: 2023c
# Acetimepy ZoneDB Start Year: 1800
# Acetimepy ZoneDB Until Year: 10000
# Python Version: 3.10.6 (main, Mar 10 2023, 10:55:28) [GCC 11.3.0]
# ZoneInfo Version: 2022c
# Report Start Year: 1840
# Report Until Year: 2100
#
# Report Format
# -------------
# Zone {zone_name}
# {seconds}: {date}: {label}: exp {value}, obs {value}
# [...]

Zone America/Bahia_Banderas
1270371600: 2010-04-04 04:00:00-05:00: dst_offset: acetz 3600; zoneinfo 7200
-864007260: 1942-08-15 23:59:00+02:00: dst_offset: acetz 7200; zoneinfo 3600
-842839200: 1943-04-18 00:00:00+02:00: dst_offset: acetz 7200; zoneinfo 3600
-831348060: 1943-08-28 23:59:00+02:00: dst_offset: acetz 7200; zoneinfo 3600
-810784800: 1944-04-23 00:00:00+02:00: dst_offset: acetz 7200; zoneinfo 3600
-799898460: 1944-08-26 23:59:00+02:00: dst_offset: acetz 7200; zoneinfo 3600
-779335200: 1945-04-22 00:00:00+02:00: dst_offset: acetz 7200; zoneinfo 3600
-768448860: 1945-08-25 23:59:00+02:00: dst_offset: acetz 7200; zoneinfo 3600
Zone Europe/London
-904518000: 1941-05-04 03:00:00+02:00: dst_offset: acetz 7200; zoneinfo 3600
-896050860: 1941-08-10 02:59:00+02:00: dst_offset: acetz 7200; zoneinfo 3600
-875487600: 1942-04-05 03:00:00+02:00: dst_offset: acetz 7200; zoneinfo 3600
-864601260: 1942-08-09 02:59:00+02:00: dst_offset: acetz 7200; zoneinfo 3600
-844038000: 1943-04-04 03:00:00+02:00: dst_offset: acetz 7200; zoneinfo 3600
-832546860: 1943-08-15 02:59:00+02:00: dst_offset: acetz 7200; zoneinfo 3600
-812588400: 1944-04-02 03:00:00+02:00: dst_offset: acetz 7200; zoneinfo 3600
-798073260: 1944-09-17 02:59:00+02:00: dst_offset: acetz 7200; zoneinfo 3600
-781052400: 1945-04-02 03:00:00+02:00: dst_offset: acetz 7200; zoneinfo 3600
-772066860: 1945-07-15 02:59:00+02:00: dst_offset: acetz 7200; zoneinfo 3600
-717030000: 1947-04-13 03:00:00+02:00: dst_offset: acetz 7200; zoneinfo 3600
-706748460: 1947-08-10 02:59:00+02:00: dst_offset: acetz 7200; zoneinfo 3600
Zone Europe/Madrid
-999482400: 1938-05-01 00:00:00+02:00: dst_offset: acetz 7200; zoneinfo 3600
-986090460: 1938-10-02 23:59:00+02:00: dst_offset: acetz 7200; zoneinfo 3600
Zone Europe/Minsk
-899780400: 1941-06-27 23:00:00+02:00: dst_offset: acetz 3600; zoneinfo -3600
-857257260: 1942-11-02 02:59:00+02:00: dst_offset: acetz 3600; zoneinfo -3600
Zone Europe/Moscow
-1539493200: 1921-03-21 00:00:00+05:00: dst_offset: acetz 7200; zoneinfo 3600
-1525323660: 1921-08-31 23:59:00+05:00: dst_offset: acetz 7200; zoneinfo 3600
Zone Europe/Paris
-796266060: 1944-10-08 00:59:00+02:00: dst_offset: acetz 7200; zoneinfo 3600
-781052400: 1945-04-02 03:00:00+02:00: dst_offset: acetz 7200; zoneinfo 3600
-766623660: 1945-09-16 02:59:00+02:00: dst_offset: acetz 7200; zoneinfo 3600
Zone Europe/Riga
-899521200: 1941-06-30 23:00:00+02:00: dst_offset: acetz 3600; zoneinfo -3600
-857257260: 1942-11-02 02:59:00+02:00: dst_offset: acetz 3600; zoneinfo -3600
Zone Europe/Simferopol
-888894000: 1941-10-31 23:00:00+02:00: dst_offset: acetz 3600; zoneinfo -3600
-857257260: 1942-11-02 02:59:00+02:00: dst_offset: acetz 3600; zoneinfo -3600
Zone Europe/Tallinn
-892954800: 1941-09-14 23:00:00+02:00: dst_offset: acetz 3600; zoneinfo -3600
-857257260: 1942-11-02 02:59:00+02:00: dst_offset: acetz 3600; zoneinfo -3600
Zone Europe/Vilnius
-900126000: 1941-06-23 23:00:00+02:00: dst_offset: acetz 3600; zoneinfo -3600
-857257260: 1942-11-02 02:59:00+02:00: dst_offset: acetz 3600; zoneinfo -3600
Zone Pacific/Rarotonga
279714600: 1978-11-12 01:00:00-09:30: dst_offset: acetz 1800; zoneinfo 3600
289387740: 1979-03-03 23:59:00-09:30: dst_offset: acetz 1800; zoneinfo 3600
309952800: 1979-10-28 00:30:00-09:30: dst_offset: acetz 1800; zoneinfo 3600
320837340: 1980-03-01 23:59:00-09:30: dst_offset: acetz 1800; zoneinfo 3600
341402400: 1980-10-26 00:30:00-09:30: dst_offset: acetz 1800; zoneinfo 3600
352286940: 1981-02-28 23:59:00-09:30: dst_offset: acetz 1800; zoneinfo 3600
372852000: 1981-10-25 00:30:00-09:30: dst_offset: acetz 1800; zoneinfo 3600
384341340: 1982-03-06 23:59:00-09:30: dst_offset: acetz 1800; zoneinfo 3600
404906400: 1982-10-31 00:30:00-09:30: dst_offset: acetz 1800; zoneinfo 3600
415790940: 1983-03-05 23:59:00-09:30: dst_offset: acetz 1800; zoneinfo 3600
436356000: 1983-10-30 00:30:00-09:30: dst_offset: acetz 1800; zoneinfo 3600
447240540: 1984-03-03 23:59:00-09:30: dst_offset: acetz 1800; zoneinfo 3600
467805600: 1984-10-28 00:30:00-09:30: dst_offset: acetz 1800; zoneinfo 3600
478690140: 1985-03-02 23:59:00-09:30: dst_offset: acetz 1800; zoneinfo 3600
499255200: 1985-10-27 00:30:00-09:30: dst_offset: acetz 1800; zoneinfo 3600
510139740: 1986-03-01 23:59:00-09:30: dst_offset: acetz 1800; zoneinfo 3600
530704800: 1986-10-26 00:30:00-09:30: dst_offset: acetz 1800; zoneinfo 3600
541589340: 1987-02-28 23:59:00-09:30: dst_offset: acetz 1800; zoneinfo 3600
562154400: 1987-10-25 00:30:00-09:30: dst_offset: acetz 1800; zoneinfo 3600
573643740: 1988-03-05 23:59:00-09:30: dst_offset: acetz 1800; zoneinfo 3600
594208800: 1988-10-30 00:30:00-09:30: dst_offset: acetz 1800; zoneinfo 3600
605093340: 1989-03-04 23:59:00-09:30: dst_offset: acetz 1800; zoneinfo 3600
625658400: 1989-10-29 00:30:00-09:30: dst_offset: acetz 1800; zoneinfo 3600
636542940: 1990-03-03 23:59:00-09:30: dst_offset: acetz 1800; zoneinfo 3600
657108000: 1990-10-28 00:30:00-09:30: dst_offset: acetz 1800; zoneinfo 3600
667992540: 1991-03-02 23:59:00-09:30: dst_offset: acetz 1800; zoneinfo 3600
